molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL397518,CC(C)(C)OC(=O)N[C@@H](CN[C@@H]1CCc2ccccc2N(CC(F)(F)F)C1=O)Cc1ccccc1,active,491.5540000000002,4.622300000000004,2.0,4.0,6.053056729302175
CHEMBL392882,CC(C)(C)OC(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H]1CCc2ccccc2N(CC(F)(F)F)C1,active,491.5540000000002,4.622300000000004,2.0,4.0,6.838631997765025
CHEMBL247823,CN1C[C@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)OC(C)(C)C)CCc2ccccc21,active,423.5570000000003,3.6898000000000017,2.0,4.0,6.0
CHEMBL391392,CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)OC(C)(C)C)CCc2ccccc21,active,465.5940000000003,3.9950000000000014,2.0,4.0,7.346787486224656
CHEMBL393473,CC(C)(C)OC(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H]1CCc2ccccc2N(CC2CC2)C1=O,active,477.6050000000003,3.996600000000004,2.0,4.0,7.107905397309519
CHEMBL393472,CC(C)(C)OC(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H]1CCc2ccccc2N(CC(F)(F)F)C1=O,active,505.5370000000002,4.148900000000003,2.0,4.0,6.823908740944319
CHEMBL247999,CN1CCCC[C@@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C1=O,active,389.4960000000002,2.2494999999999994,2.0,4.0,6.0
CHEMBL391988,CN1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)OC(C)(C)C)CCc2ccccc21,active,437.5400000000003,3.216400000000001,2.0,4.0,6.716698771296451
CHEMBL398946,CN1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)C23CC4CC(CC(C4)C2)C3)N=C(c2ccccc2)c2ccccc21,active,574.7250000000005,4.886600000000004,2.0,4.0,6.376750709602099
CHEMBL394059,CN1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)C(C)(C)C)N=C(c2ccccc2)c2ccccc21,active,496.6110000000003,3.716300000000002,2.0,4.0,6.42021640338319
CHEMBL247640,CN1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)C2CC2)N=C(c2ccccc2)c2ccccc21,active,480.56800000000027,3.0802000000000014,2.0,4.0,6.0
CHEMBL394058,CN1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)OCc2ccccc2)N=C(c2ccccc2)c2ccccc21,active,546.6270000000003,4.480400000000003,2.0,5.0,6.823908740944319
CHEMBL247639,COC(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H]1N=C(c2ccccc2)c2ccccc2N(C)C1=O,active,470.5290000000002,2.910000000000001,2.0,5.0,6.0
CHEMBL247458,CN1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2)NCCC(C)(C)C)N=C(c2ccccc2)c2ccccc21,active,496.65500000000026,4.579800000000003,2.0,4.0,6.0
CHEMBL393019,CN1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2)NS(=O)(=O)c2ccccc2)N=C(c2ccccc2)c2ccccc21,active,552.6560000000002,3.5325000000000024,2.0,5.0,6.0
CHEMBL247980,CC(C)S(=O)(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H]1N=C(c2ccccc2)c2ccccc2N(C)C1=O,active,518.6390000000002,2.8818,2.0,5.0,6.0
CHEMBL247801,CN1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2)NS(C)(=O)=O)N=C(c2ccccc2)c2ccccc21,active,490.5850000000002,2.103200000000001,2.0,5.0,6.0
CHEMBL247592,CN1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)OC(C)(C)C)N=C(c2ccccc2)c2ccccc21,active,526.6370000000003,4.420900000000004,1.0,5.0,6.0
CHEMBL124993,CN1C(=O)[C@H](NC(=O)CCc2ccccc2)N=C(c2ccccc2)c2ccccc21,active,397.4780000000001,3.5755000000000017,1.0,3.0,6.0
CHEMBL307034,CN1C(=O)[C@H](NC(=O)[C@H](N)Cc2ccccc2)N=C(c2ccccc2)c2ccccc21,active,412.4930000000001,2.512700000000001,2.0,4.0,6.0
CHEMBL398355,CN1C(=O)[C@H](NC(=O)[C@@H](Cc2c[nH]cn2)NC(=O)OC(C)(C)C)N=C(c2ccccc2)c2ccccc21,active,502.5750000000003,2.801800000000002,3.0,6.0,6.0
CHEMBL246425,CN1C(=O)[C@H](NC(=O)[C@@H](Cc2cccnc2)NC(=O)OC(C)(C)C)N=C(c2ccccc2)c2ccccc21,active,513.5980000000003,3.4737000000000027,2.0,6.0,6.009661145212399
CHEMBL248430,CN1C(=O)[C@H](NC(=O)[C@@H](Cc2cscn2)NC(=O)OC(C)(C)C)N=C(c2ccccc2)c2ccccc21,active,519.6270000000003,3.5352000000000023,2.0,7.0,6.164943898279883
CHEMBL248424,CN1C(=O)[C@H](NC(=O)[C@@H](Cc2ccc(F)cc2)NC(=O)OC(C)(C)C)N=C(c2ccccc2)c2ccccc21,active,530.6000000000003,4.217800000000004,2.0,5.0,7.1487416512809245
CHEMBL248254,CN1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2F)NC(=O)OC(C)(C)C)N=C(c2ccccc2)c2ccccc21,active,530.6000000000003,4.217800000000004,2.0,5.0,7.060480747381382
CHEMBL246195,CN1C(=O)[C@H](NC(=O)[C@@H](CCc2ccccc2)NC(=O)OC(C)(C)C)N=C(c2ccccc2)c2ccccc21,active,526.6370000000003,4.468800000000003,2.0,5.0,6.623423042943488
CHEMBL398873,CN1C(=O)[C@H](NC(=O)[C@H](NC(=O)OC(C)(C)C)c2ccccc2)N=C(c2ccccc2)c2ccccc21,active,498.58300000000014,4.208700000000003,2.0,5.0,6.425968732272281
CHEMBL246194,CN1C(=O)[C@H](NC(=O)[C@@H](CC2CCCCC2)NC(=O)OC(C)(C)C)N=C(c2ccccc2)c2ccccc21,active,518.6580000000001,4.806400000000003,2.0,5.0,6.0
